NODE_ID,PSGC,BARANGAY,MUNICIPALITY,MUNICIPALITY_CODE,PROVINCE,PROVINCE_CODE,AREA_KM2,CENTROID_LON,CENTROID_LAT,BOUNDARY_NAME_NORMALIZED,LOCALITY_NAME_NORMALIZED,CALIBRATION_STATUS,OUTBREAK_CASE_THRESHOLD,HISTORICAL_OR_PRIOR_MONTHLY_MEAN,HISTORICAL_OR_PRIOR_MONTHLY_STD,ANNUAL_GROWTH_RATE,NEIGHBOR_COUNT
44,1206306023,San Roque,City of Koronadal,1206306000,South Cotabato,1206300000,9.766159,124.90714316309159,6.446295060587969,SAN ROQUE,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.3267262423288578,0.5715997221210467,0.015,7
45,1206306024,Santa Cruz,City of Koronadal,1206306000,South Cotabato,1206300000,5.002499,124.83815683281144,6.48113191650006,SANTA CRUZ,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.23383829077343293,0.4835682896690321,0.015,5
46,1206306025,Santo Niño,City of Koronadal,1206306000,South Cotabato,1206300000,5.628679,124.86708651976913,6.49358946250004,SANTO NINO,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.24804207945016846,0.49803823091221466,0.015,7
47,1206306026,Sarabia,City of Koronadal,1206306000,South Cotabato,1206300000,61.982822,124.8569497107118,6.3909744190000595,SARABIA,KORONADAL,CALIBRATED_SOUTH_COTABATO,3.0,0.8231098432604457,0.9072540125347728,0.015,12
48,1206306027,Zulueta,City of Koronadal,1206306000,South Cotabato,1206300000,14.779543,124.93516513003448,6.486738547500039,ZULUETA,KORONADAL,CALIBRATED_SOUTH_COTABATO,2.0,0.40193203816801515,0.6339811023745228,0.015,6
49,1206319001,Bacdulong,Lake Sebu,1206319000,South Cotabato,1206300000,4.210522,124.69222125269386,6.234591445000035,BACDULONG,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.715173433546811,0.5793643459318227,0.03,5
50,1206319002,Denlag,Lake Sebu,1206319000,South Cotabato,1206300000,17.887882,124.76544625891036,6.157351407964056,DENLAG,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.8839840309604562,0.7123087857786737,0.03,5
51,1206319003,Halilan,Lake Sebu,1206319000,South Cotabato,1206300000,14.472454,124.77074268351838,6.215009889500038,HALILAN,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.5801545609354267,0.4702455276159399,0.03,5
52,1206319004,Hanoon,Lake Sebu,1206319000,South Cotabato,1206300000,22.45034,124.7506761365529,6.276264621000052,HANOON,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.6312569346508344,0.5105380792674847,0.03,11
53,1206319005,Klubi,Lake Sebu,1206319000,South Cotabato,1206300000,27.564375,124.72885395903859,6.157824407500043,KLUBI,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,3.0,0.5489037496034792,0.7408803881892672,0.015,4
54,1206319006,Lake Lahit,Lake Sebu,1206319000,South Cotabato,1206300000,8.18958,124.71542758270658,6.251142077500048,LAKE LAHIT,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.6414357384360113,0.5189270281405568,0.03,7
55,1206319007,Lamcade,Lake Sebu,1206319000,South Cotabato,1206300000,12.279493,124.76900833516353,6.194660132500047,LAMCADE,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.6645043349137654,0.5362414689093038,0.03,5
56,1206319008,Lamdalag,Lake Sebu,1206319000,South Cotabato,1206300000,13.869265,124.73003941289613,6.199409481500054,LAMDALAG,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.8636963801166861,0.6942577167672432,0.03,6
57,1206319009,Lamfugon,Lake Sebu,1206319000,South Cotabato,1206300000,29.267991,124.65757049208645,6.273830734500024,LAMFUGON,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.6800379279750735,0.5447925122010784,0.03,5
58,1206319010,Lamlahak,Lake Sebu,1206319000,South Cotabato,1206300000,31.837255,124.68882854359798,6.172578230000056,LAMLAHAK,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.5913024874202115,0.48017820004808737,0.03,6
59,1206319011,Lower Maculan,Lake Sebu,1206319000,South Cotabato,1206300000,8.633206,124.78243703927888,6.268123379748882,LOWER MACULAN,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.6938809321169503,0.5615813050925517,0.03,5
60,1206319012,Luhib,Lake Sebu,1206319000,South Cotabato,1206300000,13.599964,124.68853526963173,6.275157828500029,LUHIB,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.5624820981007738,0.4562146199380364,0.03,7
61,1206319013,Ned,Lake Sebu,1206319000,South Cotabato,1206300000,490.34398,124.52212467716612,6.273830734500024,NED,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,4.0,1.6693376148618422,1.2897113508349656,0.03,3
62,1206319014,Poblacion,Lake Sebu,1206319000,South Cotabato,1206300000,9.129769,124.71350631241151,6.232897966000052,POBLACION,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.7893376441595549,0.6049522870024135,0.03,6
63,1206319015,Siluton,Lake Sebu,1206319000,South Cotabato,1206300000,6.960312,124.73374386741924,6.237954045000038,SILUTON,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.819458520722932,0.6594114663038969,0.03,5
64,1206319016,Talisay,Lake Sebu,1206319000,South Cotabato,1206300000,8.266147,124.71299450767532,6.272003992500032,TALISAY,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.7439754613029625,0.6049257545519697,0.03,5
65,1206319017,Takunel,Lake Sebu,1206319000,South Cotabato,1206300000,60.102862,124.64916430276865,6.179912632500048,TAKUNEL,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.5912321829069304,0.479189249090644,0.03,5
66,1206319018,Upper Maculan,Lake Sebu,1206319000,South Cotabato,1206300000,13.308774,124.7676593663489,6.239484817500026,UPPER MACULAN,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.785244584362748,0.6378539047749676,0.03,6
67,1206319019,Tasiman,Lake Sebu,1206319000,South Cotabato,1206300000,72.297707,124.60046787204217,6.178446210500028,TASIMAN,LAKE SEBU,CALIBRATED_SOUTH_COTABATO,2.0,0.723521698259659,0.5879208241140381,0.03,5
68,1206311002,Dumaguil,Norala,1206311000,South Cotabato,1206300000,5.586185,124.67511821387191,6.56007941550007,DUMAGUIL,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.0929012033553192,0.9260036821901008,0.013515972871438737,3
69,1206311003,Esperanza,Norala,1206311000,South Cotabato,1206300000,4.674195,124.66978227133302,6.491279749000029,ESPERANZA,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.232674908580145,1.0445989325839338,0.013289851608078702,5
70,1206311006,Kibid,Norala,1206311000,South Cotabato,1206300000,4.778043,124.67602548421425,6.541597791500038,KIBID,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.0298039442492473,0.8725625520159783,0.013465668874003514,5
71,1206311007,Lapuz,Norala,1206311000,South Cotabato,1206300000,5.341403,124.62454546066394,6.520398830022367,LAPUZ,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.1408602191079886,0.9666564285145854,0.01348668199296693,4
72,1206311008,Liberty,Norala,1206311000,South Cotabato,1206300000,4.044756,124.6245374325652,6.534775166000031,LIBERTY,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,0.9955198735242384,0.8430878067148512,0.013972074210332601,4
73,1206311009,Lopez Jaena,Norala,1206311000,South Cotabato,1206300000,8.575639,124.68959635148782,6.49268080850004,LOPEZ JAENA,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.2271079782615297,1.0398587092442837,0.013323656388211952,5
74,1206311011,Matapol,Norala,1206311000,South Cotabato,1206300000,4.62003,124.6316382735055,6.56849807000006,MATAPOL,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.2612214144497804,1.0687845498944282,0.013294189758611977,3
75,1206311013,Poblacion,Norala,1206311000,South Cotabato,1206300000,19.379979,124.66668150414304,6.518006708000058,POBLACION,NORALA,CALIBRATED_SOUTH_COTABATO,4.0,1.7172663304301683,1.4553804439586506,0.012972315259161642,9
76,1206311014,Puti,Norala,1206311000,South Cotabato,1206300000,18.059075,124.71946408960497,6.528068443000052,PUTI,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.0526341939171164,0.891850367368204,0.013603001632565217,10
