PSGC,PROVINCE,MUNICIPALITY,BARANGAY,CALIBRATION_STATUS,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,MEAN_POSTERIOR_CASES,MAX_POSTERIOR_CASES,AUTOMATIC_ALERT_MONTHS,MAX_HOTSPOT_Z_SCORE
1206314014,South Cotabato,Tampakan,Santa Cruz,CALIBRATED_SOUTH_COTABATO,0.267880,0.376000,1.025947,1.400000,0,-0.891995
1206302013,South Cotabato,Banga,Lampari,CALIBRATED_SOUTH_COTABATO,0.295280,0.376000,1.117040,1.368000,0,-0.314277
1206316024,South Cotabato,T'Boli,Aflek,CALIBRATED_SOUTH_COTABATO,0.292147,0.376000,1.104187,1.324000,0,0.737329
1206314003,South Cotabato,Tampakan,Lambayong,CALIBRATED_SOUTH_COTABATO,0.275093,0.372000,1.052000,1.340000,0,0.359065
1206319001,South Cotabato,Lake Sebu,Bacdulong,CALIBRATED_SOUTH_COTABATO,0.285960,0.368000,1.083600,1.300000,0,-0.422587
1206316021,South Cotabato,T'Boli,Talcon,CALIBRATED_SOUTH_COTABATO,0.277840,0.364000,1.053467,1.324000,0,0.052062
1206316019,South Cotabato,T'Boli,Lamhako,CALIBRATED_SOUTH_COTABATO,0.272667,0.364000,1.043813,1.296000,0,0.214412
1206316017,South Cotabato,T'Boli,Afus,CALIBRATED_SOUTH_COTABATO,0.271467,0.360000,1.037227,1.332000,0,0.503832
1206318010,South Cotabato,Santo Niño,Sajaneba,CALIBRATED_SOUTH_COTABATO,0.250440,0.360000,0.971933,1.324000,0,0.270291
1206312020,South Cotabato,Polomolok,Sulit,CALIBRATED_SOUTH_COTABATO,0.276320,0.356000,1.805107,2.148000,0,3.141487
1206318001,South Cotabato,Santo Niño,Ambalgan,CALIBRATED_SOUTH_COTABATO,0.275107,0.356000,1.055107,1.292000,0,0.279526
