NODE_ID,PSGC,MUNICIPALITY,BARANGAY,GAP_FILLED_AREA_KM2,OVERLAP_RESOLVED_AREA_KM2
134,1206316004,T'Boli,Kematu,0.000000,0.000000
135,1206316005,T'Boli,Laconon,0.000000,2.315111
136,1206316008,T'Boli,Lamsalome,0.000000,0.000000
137,1206316011,T'Boli,New Dumangas,2.890352,0.074602
138,1206316012,T'Boli,Sinolon,0.000000,0.340703
139,1206316014,T'Boli,Lambangan,1.411993,0.000049
140,1206316016,T'Boli,Maan,0.000000,0.000000
141,1206316017,T'Boli,Afus,0.000000,0.000000
142,1206316018,T'Boli,Lambuling,0.000000,0.000000
143,1206316019,T'Boli,Lamhako,0.000000,0.000000
144,1206316020,T'Boli,Poblacion,0.000000,0.000000
145,1206316021,T'Boli,Talcon,0.000000,0.009956
146,1206316022,T'Boli,Talufo,0.000000,0.089452
147,1206316023,T'Boli,Tudok,0.000000,0.000000
148,1206316024,T'Boli,Aflek,0.000000,0.091673
149,1206316025,T'Boli,Datal Bob,0.000000,0.023875
150,1206316026,T'Boli,Desawo,0.000000,0.000000
151,1206316027,T'Boli,Dlanag,0.000000,0.000000
152,1206316028,T'Boli,Lemsnolon,0.000000,0.000000
153,1206316029,T'Boli,Malugong,0.000000,0.000000
154,1206316030,T'Boli,Mongocayo,0.000000,0.000000
155,1206316031,T'Boli,Salacafe,0.000000,0.000000
156,1206316032,T'Boli,T'bolok,0.000000,0.000000
157,1206314001,Tampakan,Albagan,0.561583,0.000007
158,1206314002,Tampakan,Kipalbig,0.163555,2.600272
159,1206314003,Tampakan,Lambayong,0.000000,0.000000
160,1206314004,Tampakan,Liberty,0.000000,0.000000
161,1206314005,Tampakan,Maltana,0.000000,0.000000
162,1206314006,Tampakan,Poblacion,0.000000,0.000000
163,1206314007,Tampakan,Tablu,0.000000,1.235883
164,1206314008,Tampakan,Buto,0.040880,0.535982
165,1206314009,Tampakan,Lampitak,0.000000,0.000000
166,1206314010,Tampakan,Palo,0.000000,0.000000
167,1206314011,Tampakan,Pula-bato,0.000000,0.000000
168,1206314012,Tampakan,Danlag,0.000000,0.000000
169,1206314013,Tampakan,San Isidro,0.000000,0.000000
170,1206314014,Tampakan,Santa Cruz,4.125202,0.000000
171,1206315001,Tantangan,Bukay Pait,0.000000,0.000000
172,1206315002,Tantangan,Cabuling,0.000000,0.000000
173,1206315003,Tantangan,Dumadalig,0.395130,0.000000
174,1206315004,Tantangan,Libas,0.000000,0.000000
175,1206315005,Tantangan,Magon,0.000000,0.000000
176,1206315006,Tantangan,Maibo,0.000000,0.000000
177,1206315007,Tantangan,Mangilala,0.000000,0.000000
178,1206315008,Tantangan,New Iloilo,0.000000,0.000000
179,1206315009,Tantangan,New Lambunao,0.000000,0.000000
180,1206315010,Tantangan,Poblacion,0.000000,0.000000
181,1206315011,Tantangan,San Felipe,0.000000,0.000000
182,1206315012,Tantangan,New Cuyapo,0.000000,0.000000
183,1206315013,Tantangan,Tinongcop,0.000000,0.000000
184,1206317001,Tupi,Acmonan,0.000000,0.000000
185,1206317002,Tupi,Bololmala,0.261511,0.000000
186,1206317003,Tupi,Bunao,0.000000,0.047590
187,1206317004,Tupi,Cebuano,0.000000,0.043272
188,1206317005,Tupi,Crossing Rubber,0.000000,0.000000
189,1206317006,Tupi,Kablon,0.000000,0.307206
190,1206317007,Tupi,Kalkam,0.000000,0.000000
191,1206317009,Tupi,Linan,0.000000,0.000000
192,1206317010,Tupi,Lunen,0.315689,0.005436
193,1206317011,Tupi,Miasong,0.000000,0.017986
194,1206317012,Tupi,Palian,0.000000,0.000000
195,1206317013,Tupi,Poblacion,0.000000,0.000000
196,1206317014,Tupi,Polonuling,3.037478,0.000000
197,1206317015,Tupi,Simbo,0.005238,0.000000
198,1206317016,Tupi,Tubeng,0.000000,0.058903
