SOURCE_NODE_ID,TARGET_NODE_ID,SOURCE_PSGC,TARGET_PSGC,SOURCE_BARANGAY,TARGET_BARANGAY,DISTANCE_KM,EDGE_TYPE
26,44,1206306005,1206306023,Carpenter Hill,San Roque,3.9881514440385297,QUEEN_CONTIGUITY
26,47,1206306005,1206306026,Carpenter Hill,Sarabia,7.235021633083788,QUEEN_CONTIGUITY
27,31,1206306006,1206306010,Concepcion,Magsaysay,2.4056232207511914,QUEEN_CONTIGUITY
27,35,1206306006,1206306014,Concepcion,New Pangasinan,2.696787446486686,QUEEN_CONTIGUITY
27,39,1206306006,1206306018,Concepcion,Zone III,4.5282669798151955,QUEEN_CONTIGUITY
27,44,1206306006,1206306023,Concepcion,San Roque,3.2697573798030057,QUEEN_CONTIGUITY
27,46,1206306006,1206306025,Concepcion,Santo Niño,3.6069319879695003,QUEEN_CONTIGUITY
28,30,1206306007,1206306009,Esperanza,Mabini,5.987565539869223,QUEEN_CONTIGUITY
28,35,1206306007,1206306014,Esperanza,New Pangasinan,2.2121610107028924,QUEEN_CONTIGUITY
28,41,1206306007,1206306020,Esperanza,Rotonda,2.8164705451737855,QUEEN_CONTIGUITY
28,48,1206306007,1206306027,Esperanza,Zulueta,3.0071981873986235,QUEEN_CONTIGUITY
29,34,1206306008,1206306013,General Paulino Santos,Namnama,1.3177981270645251,QUEEN_CONTIGUITY
29,37,1206306008,1206306016,General Paulino Santos,Zone I,1.9878543563746305,QUEEN_CONTIGUITY
29,38,1206306008,1206306017,General Paulino Santos,Zone II,1.7753627194444472,QUEEN_CONTIGUITY
29,46,1206306008,1206306025,General Paulino Santos,Santo Niño,2.2871460561330954,QUEEN_CONTIGUITY
30,41,1206306009,1206306020,Mabini,Rotonda,6.632201975275759,QUEEN_CONTIGUITY
30,43,1206306009,1206306022,Mabini,San Jose,3.828553010238523,QUEEN_CONTIGUITY
31,35,1206306010,1206306014,Magsaysay,New Pangasinan,3.141573611257722,QUEEN_CONTIGUITY
31,44,1206306010,1206306023,Magsaysay,San Roque,2.5608221228726586,QUEEN_CONTIGUITY
31,48,1206306010,1206306027,Magsaysay,Zulueta,3.350067119438117,QUEEN_CONTIGUITY
31,170,1206306010,1206314014,Magsaysay,Santa Cruz,2.5756844712235454,QUEEN_CONTIGUITY
32,36,1206306011,1206306015,Mambucal,Paraiso,4.055044706473699,QUEEN_CONTIGUITY
32,42,1206306011,1206306021,Mambucal,San Isidro,2.676536762004812,QUEEN_CONTIGUITY
32,45,1206306011,1206306024,Mambucal,Santa Cruz,2.3256928255928324,QUEEN_CONTIGUITY
33,36,1206306012,1206306015,Morales,Paraiso,2.5284248586729245,QUEEN_CONTIGUITY
33,37,1206306012,1206306016,Morales,Zone I,1.792749312687509,QUEEN_CONTIGUITY
33,40,1206306012,1206306019,Morales,Zone IV,2.0767791195071346,QUEEN_CONTIGUITY
33,181,1206306012,1206315011,Morales,San Felipe,2.1433197536458466,QUEEN_CONTIGUITY
34,41,1206306013,1206306020,Namnama,Rotonda,2.81345292759323,QUEEN_CONTIGUITY
34,46,1206306013,1206306025,Namnama,Santo Niño,2.8846996428838163,QUEEN_CONTIGUITY
35,41,1206306014,1206306020,New Pangasinan,Rotonda,2.777856031990587,QUEEN_CONTIGUITY
35,46,1206306014,1206306025,New Pangasinan,Santo Niño,3.107566753244042,QUEEN_CONTIGUITY
35,48,1206306014,1206306027,New Pangasinan,Zulueta,4.466485624938716,QUEEN_CONTIGUITY
36,40,1206306015,1206306019,Paraiso,Zone IV,2.344267425293836,QUEEN_CONTIGUITY
36,45,1206306015,1206306024,Paraiso,Santa Cruz,3.112958033243272,QUEEN_CONTIGUITY
36,181,1206306015,1206315011,Paraiso,San Felipe,3.5618022679931576,QUEEN_CONTIGUITY
36,183,1206306015,1206315013,Paraiso,Tinongcop,3.027138050546017,QUEEN_CONTIGUITY
37,38,1206306016,1206306017,Zone I,Zone II,1.2154714493297654,QUEEN_CONTIGUITY
37,39,1206306016,1206306018,Zone I,Zone III,2.246297755249371,QUEEN_CONTIGUITY
37,40,1206306016,1206306019,Zone I,Zone IV,1.1792281576097088,QUEEN_CONTIGUITY
38,39,1206306017,1206306018,Zone II,Zone III,1.176866380154509,QUEEN_CONTIGUITY
38,40,1206306017,1206306019,Zone II,Zone IV,1.6664901877560856,QUEEN_CONTIGUITY
38,46,1206306017,1206306025,Zone II,Santo Niño,1.9397997148222268,QUEEN_CONTIGUITY
39,40,1206306018,1206306019,Zone III,Zone IV,2.118032065938665,QUEEN_CONTIGUITY
39,42,1206306018,1206306021,Zone III,San Isidro,2.6616451865825304,QUEEN_CONTIGUITY
39,45,1206306018,1206306024,Zone III,Santa Cruz,1.7229585399915897,QUEEN_CONTIGUITY
39,46,1206306018,1206306025,Zone III,Santo Niño,1.7623923294451334,QUEEN_CONTIGUITY
40,45,1206306019,1206306024,Zone IV,Santa Cruz,1.726767298123815,QUEEN_CONTIGUITY
41,43,1206306020,1206306022,Rotonda,San Jose,3.6839306076913236,NEAREST_FALLBACK
41,46,1206306020,1206306025,Rotonda,Santo Niño,3.890794522366483,QUEEN_CONTIGUITY
42,45,1206306021,1206306024,San Isidro,Santa Cruz,2.546622121657629,QUEEN_CONTIGUITY
44,47,1206306023,1206306026,San Roque,Sarabia,8.282555649318574,QUEEN_CONTIGUITY
44,158,1206306023,1206314002,San Roque,Kipalbig,5.715296263590489,QUEEN_CONTIGUITY
44,162,1206306023,1206314006,San Roque,Poblacion,3.0283116817177542,QUEEN_CONTIGUITY
44,170,1206306023,1206314014,San Roque,Santa Cruz,3.684629546334545,QUEEN_CONTIGUITY
47,158,1206306026,1206314002,Sarabia,Kipalbig,10.422001840849534,QUEEN_CONTIGUITY
47,185,1206306026,1206317002,Sarabia,Bololmala,8.201713988873253,QUEEN_CONTIGUITY
47,194,1206306026,1206317012,Sarabia,Palian,5.585048263930776,QUEEN_CONTIGUITY
47,198,1206306026,1206317016,Sarabia,Tubeng,5.20132390528463,QUEEN_CONTIGUITY
48,164,1206306027,1206314008,Zulueta,Buto,4.330774338810982,QUEEN_CONTIGUITY
48,170,1206306027,1206314014,Zulueta,Santa Cruz,2.281154928775633,QUEEN_CONTIGUITY
49,54,1206319001,1206319006,Bacdulong,Lake Lahit,3.1570180630239526,QUEEN_CONTIGUITY
49,60,1206319001,1206319012,Bacdulong,Luhib,4.529144555567903,QUEEN_CONTIGUITY
49,62,1206319001,1206319014,Bacdulong,Poblacion,2.360323044123237,QUEEN_CONTIGUITY
49,65,1206319001,1206319017,Bacdulong,Takunel,7.7214549622499895,QUEEN_CONTIGUITY
49,67,1206319001,1206319019,Bacdulong,Tasiman,11.910114010733322,QUEEN_CONTIGUITY
50,53,1206319002,1206319005,Denlag,Klubi,4.045750734622407,QUEEN_CONTIGUITY
50,55,1206319002,1206319007,Denlag,Lamcade,4.1671941229603595,QUEEN_CONTIGUITY
50,58,1206319002,1206319010,Denlag,Lamlahak,8.63781030045587,QUEEN_CONTIGUITY
50,135,1206319002,1206316005,Denlag,Laconon,7.519652354471127,QUEEN_CONTIGUITY
50,137,1206319002,1206316011,Denlag,New Dumangas,6.508818732089634,QUEEN_CONTIGUITY
51,55,1206319003,1206319007,Halilan,Lamcade,2.2709003889684336,QUEEN_CONTIGUITY
51,56,1206319003,1206319008,Halilan,Lamdalag,4.822278198789902,QUEEN_CONTIGUITY
51,63,1206319003,1206319015,Halilan,Siluton,4.820333906192712,QUEEN_CONTIGUITY
51,66,1206319003,1206319018,Halilan,Upper Maculan,2.742750313228904,QUEEN_CONTIGUITY
51,137,1206319003,1206316011,Halilan,New Dumangas,3.348015895492875,QUEEN_CONTIGUITY
52,54,1206319004,1206319006,Hanoon,Lake Lahit,4.794059143218556,QUEEN_CONTIGUITY
52,59,1206319004,1206319011,Hanoon,Lower Maculan,3.62535912431141,QUEEN_CONTIGUITY
52,64,1206319004,1206319016,Hanoon,Talisay,4.191773873430525,QUEEN_CONTIGUITY
52,66,1206319004,1206319018,Hanoon,Upper Maculan,4.4999770718914505,QUEEN_CONTIGUITY
52,115,1206319004,1206313002,Hanoon,Buenavista,3.8427339388169726,QUEEN_CONTIGUITY
52,120,1206319004,1206313008,Hanoon,Canahay,3.3295999376245584,QUEEN_CONTIGUITY
52,123,1206319004,1206313018,Hanoon,Lamsugod,6.347245198033394,QUEEN_CONTIGUITY
52,125,1206319004,1206313020,Hanoon,Little Baguio,4.55883807319821,QUEEN_CONTIGUITY
52,129,1206319004,1206313030,Hanoon,Tubiala,3.934987608891123,QUEEN_CONTIGUITY
52,131,1206319004,1206313032,Hanoon,Veterans,6.011217939289749,QUEEN_CONTIGUITY
52,138,1206319004,1206316012,Hanoon,Sinolon,8.682639209871759,QUEEN_CONTIGUITY
53,55,1206319005,1206319007,Klubi,Lamcade,6.040033740990847,QUEEN_CONTIGUITY
53,56,1206319005,1206319008,Klubi,Lamdalag,4.625912332669181,QUEEN_CONTIGUITY
53,58,1206319005,1206319010,Klubi,Lamlahak,4.719221398277761,QUEEN_CONTIGUITY
54,60,1206319006,1206319012,Lake Lahit,Luhib,3.9958281290818585,QUEEN_CONTIGUITY
54,62,1206319006,1206319014,Lake Lahit,Poblacion,2.0397410634441626,QUEEN_CONTIGUITY
54,63,1206319006,1206319015,Lake Lahit,Siluton,2.4998899836578374,QUEEN_CONTIGUITY
54,64,1206319006,1206319016,Lake Lahit,Talisay,2.335279171078206,QUEEN_CONTIGUITY
54,66,1206319006,1206319018,Lake Lahit,Upper Maculan,5.917171852385432,QUEEN_CONTIGUITY
55,56,1206319007,1206319008,Lamcade,Lamdalag,4.34008175447139,QUEEN_CONTIGUITY
55,137,1206319007,1206316011,Lamcade,New Dumangas,3.5551441426382913,QUEEN_CONTIGUITY
56,58,1206319008,1206319010,Lamdalag,Lamlahak,5.445757538707897,QUEEN_CONTIGUITY
56,62,1206319008,1206319014,Lamdalag,Poblacion,4.148064154915743,QUEEN_CONTIGUITY
56,63,1206319008,1206319015,Lamdalag,Siluton,4.305483461583302,QUEEN_CONTIGUITY
57,60,1206319009,1206319012,Lamfugon,Luhib,3.4256853486205454,QUEEN_CONTIGUITY
57,61,1206319009,1206319013,Lamfugon,Ned,14.97070801161305,QUEEN_CONTIGUITY
57,67,1206319009,1206319019,Lamfugon,Tasiman,12.342435175908134,QUEEN_CONTIGUITY
57,117,1206319009,1206313004,Lamfugon,Colongulo,7.632492431054056,QUEEN_CONTIGUITY
57,130,1206319009,1206313031,Lamfugon,Upper Sepaka,9.056940521204133,QUEEN_CONTIGUITY
58,62,1206319010,1206319014,Lamlahak,Poblacion,7.240800714787441,QUEEN_CONTIGUITY
