MUNICIPALITY,BARANGAY,MATCH_STATUS,MATCH_METHOD,MATCH_SCORE,NODE_ID,PSGC,BOUNDARY_MUNICIPALITY,BOUNDARY_BARANGAY
POLOMOLOK,LAPU,MATCHED,EXACT_NORMALIZED,1.0,102.0,1206312023,Polomolok,Lapu
POLOMOLOK,LUMAKIL,MATCHED,EXACT_NORMALIZED,1.0,90.0,1206312009,Polomolok,Lumakil
POLOMOLOK,MAGSAYSAY,MATCHED,EXACT_NORMALIZED,1.0,95.0,1206312016,Polomolok,Magsaysay
POLOMOLOK,MALIGO,MATCHED,EXACT_NORMALIZED,1.0,91.0,1206312011,Polomolok,Maligo
POLOMOLOK,PAGALUNGAN,MATCHED,EXACT_NORMALIZED,1.0,104.0,1206312025,Polomolok,Pagalungan
POLOMOLOK,PALKAN,MATCHED,EXACT_NORMALIZED,1.0,92.0,1206312013,Polomolok,Palkan
POLOMOLOK,POBLACION,MATCHED,EXACT_NORMALIZED,1.0,93.0,1206312014,Polomolok,Poblacion
POLOMOLOK,POLO,MATCHED,EXACT_NORMALIZED,1.0,94.0,1206312015,Polomolok,Polo
POLOMOLOK,RUBBER,MATCHED,EXACT_NORMALIZED,1.0,96.0,1206312017,Polomolok,Rubber
POLOMOLOK,SILWAY 7,MATCHED,EXACT_NORMALIZED,1.0,97.0,1206312018,Polomolok,Silway 7
POLOMOLOK,SILWAY 8,MATCHED,EXACT_NORMALIZED,1.0,98.0,1206312019,Polomolok,Silway 8
POLOMOLOK,SULIT,MATCHED,EXACT_NORMALIZED,1.0,99.0,1206312020,Polomolok,Sulit
POLOMOLOK,SUMBAKIL,MATCHED,EXACT_NORMALIZED,1.0,100.0,1206312021,Polomolok,Sumbakil
POLOMOLOK,UPPER KLINAN,MATCHED,EXACT_NORMALIZED,1.0,101.0,1206312022,Polomolok,Upper Klinan
STO. NINO,AMBALGAN,MATCHED,EXACT_NORMALIZED,1.0,105.0,1206318001,Santo Niño,Ambalgan
STO. NINO,GUINSANG-AN,MATCHED,EXACT_NORMALIZED,1.0,106.0,1206318002,Santo Niño,Guinsang-an
STO. NINO,KATIPUNAN,MATCHED,EXACT_NORMALIZED,1.0,107.0,1206318003,Santo Niño,Katipunan
STO. NINO,MANUEL ROXAS,MATCHED,EXACT_NORMALIZED,1.0,108.0,1206318004,Santo Niño,Manuel Roxas
STO. NINO,PANAY,MATCHED,EXACT_NORMALIZED,1.0,109.0,1206318005,Santo Niño,Panay
STO. NINO,POBLACION,MATCHED,EXACT_NORMALIZED,1.0,110.0,1206318006,Santo Niño,Poblacion
STO. NINO,SAJANEBA,MATCHED,EXACT_NORMALIZED,1.0,114.0,1206318010,Santo Niño,Sajaneba
STO. NINO,SAN ISIDRO,MATCHED,EXACT_NORMALIZED,1.0,111.0,1206318007,Santo Niño,San Isidro
