YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2034,Tampakan,1206314000,205.900000,0.000000,746.025000,0.181929,0.340000,0,0
2034,Tantangan,1206315000,53.480000,0.000000,322.950000,0.083359,0.192000,0,0
2034,Tupi,1206317000,209.544000,0.000000,761.475000,0.025200,0.184000,0,0
2035,Banga,1206302000,375.440000,0.000000,1308.000000,0.219364,0.400000,0,0
2035,City of Koronadal,1206306000,110.476000,0.000000,667.025000,0.066333,0.196000,0,0
2035,Lake Sebu,1206319000,264.856000,0.000000,971.675000,0.280404,0.412000,0,0
2035,Norala,1206311000,198.884000,0.000000,724.050000,0.128786,0.200000,0,0
2035,Polomolok,1206312000,688.748000,3.900000,2107.250000,0.340087,0.504000,101,0
2035,Santo Niño,1206318000,151.936000,0.000000,546.400000,0.182333,0.352000,0,0
2035,Surallah,1206313000,489.404000,0.000000,1519.975000,0.184373,0.324000,93,0
2035,T'Boli,1206316000,383.904000,0.000000,1377.750000,0.296453,0.436000,0,0
2035,Tampakan,1206314000,211.296000,0.000000,744.275000,0.188262,0.352000,0,0
2035,Tantangan,1206315000,54.040000,0.000000,326.950000,0.082000,0.192000,0,0
2035,Tupi,1206317000,209.040000,0.000000,770.825000,0.025444,0.188000,0,0
2036,Banga,1206302000,377.956000,0.000000,1327.900000,0.222379,0.372000,0,0
2036,City of Koronadal,1206306000,108.920000,0.000000,655.775000,0.065333,0.180000,0,0
2036,Lake Sebu,1206319000,262.724000,0.000000,993.650000,0.278509,0.396000,0,0
2036,Norala,1206311000,199.024000,0.000000,734.700000,0.129571,0.204000,0,0
2036,Polomolok,1206312000,699.412000,8.000000,2185.225000,0.344014,0.520000,106,0
2036,Santo Niño,1206318000,153.548000,0.000000,557.275000,0.183633,0.336000,0,0
2036,Surallah,1206313000,488.196000,0.000000,1532.000000,0.187020,0.304000,78,0
2036,T'Boli,1206316000,379.716000,0.000000,1367.325000,0.293467,0.436000,0,0
2036,Tampakan,1206314000,211.472000,0.000000,769.275000,0.190429,0.356000,0,0
2036,Tantangan,1206315000,55.504000,0.000000,321.300000,0.086000,0.208000,0,0
2036,Tupi,1206317000,207.556000,0.000000,774.800000,0.025222,0.164000,0,0
2037,Banga,1206302000,372.804000,0.000000,1323.625000,0.217970,0.368000,0,0
2037,City of Koronadal,1206306000,109.860000,0.000000,669.450000,0.067062,0.172000,0,0
2037,Lake Sebu,1206319000,261.416000,0.000000,994.900000,0.273018,0.400000,1,0
2037,Norala,1206311000,199.832000,0.000000,745.275000,0.129952,0.216000,0,0
2037,Polomolok,1206312000,704.372000,3.675000,2208.925000,0.343000,0.512000,102,0
2037,Santo Niño,1206318000,149.896000,0.000000,547.950000,0.177267,0.336000,0,0
2037,Surallah,1206313000,487.560000,0.000000,1558.975000,0.189431,0.296000,38,0
2037,T'Boli,1206316000,380.696000,0.000000,1378.775000,0.292613,0.432000,0,0
2037,Tampakan,1206314000,211.508000,0.000000,770.475000,0.190071,0.372000,0,0
2037,Tantangan,1206315000,54.432000,0.000000,323.300000,0.083462,0.188000,0,0
2037,Tupi,1206317000,207.384000,0.000000,784.800000,0.026044,0.160000,0,0
