DATE,RED_CLUSTER_ID,CLUSTER_SIZE,NEW_CLUSTER_ONSET,LIKELY_ORIGIN_PSGC,LIKELY_ORIGIN_MUNICIPALITY,LIKELY_ORIGIN_BARANGAY,MEMBER_PSGC_LIST,MEMBER_NAME_LIST,MUNICIPALITY_LIST,PROJECTED_CLUSTER_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,DOMINANT_FACTOR_MODE
2031-11-01,1,7,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,27.480000,0.351429,0.452000,Seasonal baseline
2031-11-01,2,6,False,1206313003,Surallah,Centrala,1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023,Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,17.460000,0.198000,0.296000,Seasonal baseline
2031-12-01,1,10,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312018; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 7 (Polomolok); Upper Klinan (Polomolok),Polomolok,34.652000,0.349600,0.464000,Seasonal baseline
2031-12-01,2,12,False,1206313019,Surallah,Libertad,1206313008; 1206313003; 1206313004; 1206313005; 1206313006; 1206313018; 1206313019; 1206313020; 1206313023; 1206313024; 1206313031; 1206313032,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Dajay (Surallah); Duengas (Surallah); Lamsugod (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Naci (Surallah); Upper Sepaka (Surallah); Veterans (Surallah),Surallah,32.864000,0.211000,0.320000,Seasonal baseline
2032-01-01,1,9,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,31.156000,0.321333,0.472000,Seasonal baseline
2032-01-01,2,7,False,1206313003,Surallah,Centrala,1206313003; 1206313004; 1206313006; 1206313019; 1206313020; 1206313023; 1206313028,Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Talahik (Surallah),Surallah,17.836000,0.170286,0.252000,Seasonal baseline
2032-02-01,1,8,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok),Polomolok,27.836000,0.308000,0.404000,Seasonal baseline
2032-02-01,2,6,False,1206313023,Surallah,Moloy,1206313003; 1206313004; 1206313019; 1206313020; 1206313023; 1206313028,Centrala (Surallah); Colongulo (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Talahik (Surallah),Surallah,16.288000,0.177333,0.264000,Seasonal baseline
2032-03-01,1,6,False,1206312017,Polomolok,Rubber,1206312024; 1206312003; 1206312016; 1206312025; 1206312014; 1206312017,Cannery Site (Polomolok); Glamang (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok),Polomolok,23.436000,0.302667,0.416000,Seasonal baseline
2032-04-01,1,9,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,30.292000,0.320444,0.428000,Seasonal baseline
