DATE,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,LOW_ALERT_COUNT,MODERATE_ALERT_COUNT,HIGH_ALERT_COUNT,CRITICAL_ALERT_COUNT,AUTOMATIC_OUTBREAK_ALERT_COUNT,INDIVIDUAL_OUTBREAK_ALERT_COUNT,PROBABILISTIC_OUTBREAK_ALERT_COUNT,RED_CLUSTER_OUTBREAK_ALERT_COUNT,RED_CLUSTER_LIKELY_ORIGIN_COUNT,RED_CASE_ZONE_COUNT,NEW_AUTOMATIC_OUTBREAK_ONSET_COUNT,NEW_HIGH_RISK_ONSET_COUNT,MEAN_HOTSPOT_Z_SCORE,MAX_HOTSPOT_Z_SCORE,BARANGAY_COUNT,CALIBRATED_BARANGAY_COUNT
2026-06-01,City of Koronadal,1206306000,8.428000,0.000000,53.325000,0.057481,0.132000,27,0,0,0,0,0,0,0,0,0,0,0,-2.910489,-1.369459,27,27
2026-06-01,Lake Sebu,1206319000,20.592000,0.000000,72.325000,0.259579,0.328000,12,7,0,0,0,0,0,0,0,1,0,0,-0.149648,2.026004,19,19
2026-06-01,Norala,1206311000,15.912000,0.000000,55.775000,0.110857,0.148000,14,0,0,0,0,0,0,0,0,0,0,0,-0.354044,0.078792,14,14
2026-06-01,Polomolok,1206312000,52.260000,2.000000,144.875000,0.302261,0.448000,10,13,0,0,6,0,0,6,1,7,0,0,3.427358,7.077525,23,23
2026-06-01,Santo Niño,1206318000,12.140000,0.000000,42.000000,0.162000,0.252000,10,0,0,0,0,0,0,0,0,0,0,0,0.010649,0.280284,10,10
2026-06-01,Surallah,1206313000,36.796000,0.000000,104.550000,0.131059,0.220000,17,0,0,0,6,0,0,6,1,8,2,0,2.418192,3.382286,17,17
2026-06-01,T'Boli,1206316000,29.180000,0.000000,98.325000,0.266400,0.404000,18,7,0,0,0,0,0,0,0,0,0,0,-0.067207,1.335495,25,25
2026-06-01,Tampakan,1206314000,16.712000,0.000000,57.550000,0.172857,0.320000,13,1,0,0,0,0,0,0,0,0,0,0,-0.297221,0.377780,14,14
2026-06-01,Tantangan,1206315000,4.168000,0.000000,26.550000,0.078769,0.152000,13,0,0,0,0,0,0,0,0,0,0,0,-2.493312,-1.719871,13,13
2026-06-01,Tupi,1206317000,18.836000,0.000000,64.100000,0.026400,0.152000,15,0,0,0,0,0,0,0,0,1,0,0,0.522366,2.687898,15,15
